admission_number,first_name,last_name,gender,date_of_birth
116/2026,Victor,Ruto,Male,2010-04-27
117/2026,Elijah,Kipchoge,Male,2010-04-28
118/2026,Mburu,Karanja,Male,2010-04-29
119/2026,Julius,Kiprono,Male,2010-04-30
120/2026,Caleb,Yego,Male,2010-05-01
121/2026,Oliver,Kipkoech,Male,2010-05-02
122/2026,Timothy,Talam,Male,2010-05-03
123/2026,Otieno,Ouma,Male,2010-05-04
124/2026,Omondi,Kiptoo,Male,2010-05-05
125/2026,Eric,Kiptoo,Male,2010-05-06
126/2026,Ooko,Waweru,Male,2010-05-07
127/2026,Yusuf,Kipkemoi,Male,2010-05-08
128/2026,Edwin,Ngugi,Male,2010-05-09
129/2026,Peter,Koech,Male,2010-05-10
130/2026,Yusuf,Sang,Male,2010-05-11
131/2026,Peter,Kiptoo,Male,2010-05-12
132/2026,Allan,Kiprono,Male,2010-05-13
133/2026,Yusuf,Kipruto,Male,2010-05-14
134/2026,Martin,Kipngetich,Male,2010-05-15
135/2026,Richard,Chepkwony,Male,2010-05-16
136/2026,Yusuf,Gathua,Male,2010-05-17
137/2026,Robert,Kirui,Male,2010-05-18
138/2026,Titus,Chebet,Male,2010-05-19
139/2026,Yusuf,Kipyator,Male,2010-05-20
140/2026,Elijah,Ouma,Male,2010-05-21
141/2026,Timothy,Kiprono,Male,2010-05-22
142/2026,William,Keter,Male,2010-05-23
143/2026,Mutiso,Sigilai,Male,2010-05-24
144/2026,Ndungu,Bett,Male,2010-05-25
145/2026,Oscar,Muthoni,Male,2010-05-26
146/2026,Oliver,Wambua,Male,2010-05-27
147/2026,Albert,Chelanga,Male,2010-05-28
148/2026,Collins,Kigen,Male,2010-05-29
149/2026,Leonard,Kipngetich,Male,2010-05-30
150/2026,Henry,Kipchoge,Male,2010-05-31
151/2026,Lutwama,Keter,Male,2010-06-01
152/2026,Edwin,Chelanga,Male,2010-06-02
153/2026,Cyrus,Kirui,Male,2010-06-03
154/2026,Collins,Choge,Male,2010-06-04
155/2026,Onyango,Oloo,Male,2010-06-05
156/2026,Waweru,Oloo,Male,2010-06-06
157/2026,Frank,Kipkemoi,Male,2010-06-07
158/2026,Fred,Chepkwony,Male,2010-06-08
159/2026,Josephat,Cheruiyot,Male,2010-06-09
160/2026,Maina,Yego,Male,2010-06-10
161/2026,Langat,Kipyator,Male,2010-06-11
162/2026,Zedekiah,Kiprotich,Male,2010-06-12
163/2026,Paul,Wambua,Male,2010-06-13
164/2026,Elijah,Mwangi,Male,2010-06-14
165/2026,Lemayian,Munyua,Male,2010-06-15
